text,sentiment
Clamp will not tighten up far enough to hold on 95 Jaguar Windshield visor. Too late to return (just tried it) and should fit if clamp only closed further. Beware about fit,negative
Exactly as described and much cheaper than the check company wanted to charge me for the same product.,positive
Still looking for the culprit for bad running Pontiac.,positive
"The inclusion of an easy to use/fill soap reservoir with this spray head works well. The ultra soft wash mit included with this set is great ar removing set in dirt without scratching. Great product, would highly recommend it.",positive
Size was perfect though.,negative
"My wife bought this and didn't sleep on it but one night and it now resides in the closet in case we have a guest for the couch. It looks nice, is seemingly a good idea but just did not work for her.",negative
I have used this almost every day and I honestly don't see the difference from any other product I have used before. There is no shine or much cleaning power !,negative
Don't waste your money its a inch tall,negative
The quality of the outfit is pretty good. The only reason I’m rating it 3 stars is because it smelled like straight up gasoline 🤮,neutral
Looks and feels nice. A little hard to open at first but screen protector scratches so easy,neutral
"These scrunchies were very cheaply made and broke after 2 days. They are very soft and very cute, but they are bigger then normal scrunchies.",neutral
"I'm not giving 5 starts just because they came loose on the package with no protection, plastic wrap or anything and it damage one of the forms, also they put a bigger sticker on them which damage another 2 forms, besides that great product.",positive
Cute but for the size and quality price should be cheaper .,negative
I couldnt get them on her right so they would stay on,neutral
"These socks are soft and nice -- so far after a couple of washings, they seem to wear well. But they don't look like the photo -- they only go about 1.5 inches above the ankle -- and they are NOT wool. Nevertheless, for the price they're a decent buy.",neutral
I wired it into the rear speakers on my 2013 impala with Bose. The signal is very clear and the gain knob works great. The reason for the 3 stars is because the remote wire from the converter doesn't work. My car battery died because the remote signal didn't tell the amp to turn off. I ended up running a separate remote wire from a fuse.,neutral
"I had to put my dog on a low fat diet of chicken and rice with some veggies. I felt she needed more nutrients and vitamins so I bought these. I can't really say if they work or dont work as I have only been using them for a few weeks now. She absolutely does not like the taste of them and they come in a treat style square. I have to crumble it up and put it in her food, then she sniffs the food and tries to eat around the crumbles, or I can crumble it up and put it in her mouth and hold her mouth closed until she swallows it but that seems a bit drastic. She totally does not like to take them. I am sure they are doing her some good, but I just dread having to get them into her. I probably would not buy them again simply because she does not like them.",positive
We have had the chair for about a year now and all the fake leather is peeling off. I wish it wasn't made so cheaply.,neutral
"I bought this for my brother's birthday and he loved it! I liked how it came with tons of ammo, very cool gift.",positive
This is a decent light for personal use. The cons the stand is flimsy and there isnt a connection to hold the cellphone one the light,neutral
"I can't seem to find a rice cooker that is even 75% good, and this one isn't either (I have gone through 4 in a year). This one makes sort of gummy rice (I rinse). Also, the lid is really hard to keep clean. Better to get one with a removable lid that you can take off and throw in the dishwasher. Lately I am seeing that the steam is turning into water dripping down the side and making a mess while cooking. I guess I will be shopping for another rice cooker. Again.",neutral
